Scenario,Shape,Sink,Xm,Ym,Nodes,AERT_FND,LEACH_FND,EDD_FND,AERT_vs_LEACH_FND_pct,AERT_vs_EDD_FND_pct,AERT_HND,LEACH_HND,EDD_HND,AERT_vs_LEACH_HND_pct,AERT_vs_EDD_HND_pct,AERT_AND,LEACH_AND,EDD_AND,AERT_vs_LEACH_AND_pct,AERT_vs_EDD_AND_pct,AERT_Packets_BS,LEACH_Packets_BS,EDD_Packets_BS,AERT_vs_LEACH_Packets_pct,AERT_vs_EDD_Packets_pct,AERT_Residual_Energy,LEACH_Residual_Energy,EDD_Residual_Energy
100x100_100n_circle_edge-left,circle,edge-left,100,100,100,1120.2,360.2,358.4,210.993892282066,212.555803571429,2285.4,1089.2,1114.4,109.823723834007,105.078966259871,4193.8,1500,1466.4,179.586666666667,185.992907801418,10174.4,5455.2,5564.8,86.508285672386,82.8349626221967,0.153048195315307,0,0.000252529091294681
100x100_100n_circle_edge-right,circle,edge-right,100,100,100,1093.2,360,362,203.666666666667,201.988950276243,2374,1074.2,1108.4,121.001675665612,114.18260555756,4222.6,1452,1452.2,190.812672176309,190.772620851122,10214.8,5507.4,5413.8,85.4740894069797,88.6807787506003,0.153232359631836,0,0.000232485583820056
100x100_100n_circle_corner,circle,corner,100,100,100,1043.4,357.6,358,191.778523489933,191.45251396648,2190.6,1083.2,1065,102.2341211226,105.69014084507,4418.8,1431,1449.8,208.79105520615,204.78686715409,10283.6,5316.4,5290.6,93.4316454743812,94.3749291195706,0.152028174826847,0,0.000257165031132734
100x100_100n_circle_outside-top,circle,outside-top,100,100,100,987.8,344.6,346,186.651189785258,185.491329479769,2084.8,1048.4,1036.4,98.8553987027852,101.157854110382,4441.4,1376.6,1351.6,222.635478715676,228.603137022788,10218.4,5203,5021.6,96.3943878531616,103.488927831767,0.15136845753754,0,0.000133348980459391
100x100_100n_triangle_center,triangle,center,100,100,100,1120.4,369.2,364.4,203.466955579632,207.464324917673,2337.4,1127.8,1169,107.253059053024,99.9486740804106,4314.2,1568.4,1579.6,175.0701351696,173.119777158774,10484,5742.6,5730.8,82.5653884999826,82.9412996440288,0.153131190547803,0,0.000295006991100391
100x100_100n_triangle_edge-top,triangle,edge-top,100,100,100,837,366.2,364.2,128.563626433643,129.818780889621,1952.8,1127.6,1121.4,73.1819794253281,74.139468521491,4380.4,1525.2,1546.6,187.201678468398,183.227725332988,10399.4,5517.6,5710.6,88.4768740031898,82.1069589885476,0.150290595703963,0,0.000324112672528323
100x100_100n_triangle_edge-bottom,triangle,edge-bottom,100,100,100,1085.4,366.8,366,195.910577971647,196.55737704918,2258.2,1160.2,1082.6,94.6388553697638,108.590430445224,4252.6,1553.2,1550.6,173.796033994334,174.255127047595,10423.2,5742,5637.2,81.5256008359457,84.9003051160151,0.152657595041619,0,0.000304781144300516
100x100_100n_triangle_edge-left,triangle,edge-left,100,100,100,1038.8,365.4,371,184.291187739464,180,2147.8,1117.4,1144.2,92.2140683730088,87.7119384722951,4435.2,1538.2,1549.2,188.33701729294,186.289697908598,10434.2,5646.8,5741.6,84.7807607848693,81.7298314058799,0.151939010783187,0,0.000262708732883365
100x100_100n_triangle_edge-right,triangle,edge-right,100,100,100,981,367.8,363.6,166.721044045677,169.80198019802,2133.6,1120.2,1110.2,90.4659882163899,92.1815889029004,4399.8,1551,1524.6,183.675048355899,188.587170405352,10467.8,5591.8,5650.6,87.1991129868736,85.2511237744664,0.151039422661392,0,0.000280854516029245
100x100_100n_triangle_corner,triangle,corner,100,100,100,718.6,353.6,361.6,103.223981900452,98.7278761061947,2196.8,1116.6,1101.8,96.7401038867992,99.3828280994736,4260.4,1459.2,1523.4,191.968201754386,179.663909675725,10481.4,5519,5587.4,89.9148396448632,87.589934495472,0.151177990203821,0,0.000143836798129864
